id,cityId,cityName,countryId,countryName,nameEn,nameRu,nameAr,description_en_title,description_en_description,description_ru_title,description_ru_description,infrastructure_en_title,infrastructure_en_description,infrastructure_ru_title,infrastructure_ru_description,images
bf7c713e-66fa-4f51-9d3a-fbae1be3823c,191ac941-212a-4136-b305-e38d7e55aea5,"Dubai",4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates"," Al Shamkha, Abu Dhabi"," Al Shamkha, Abu Dhabi"," Al Shamkha, Abu Dhabi","","","","","","","","",""
84e32c69-becf-41ec-acc1-119873c4390a,191ac941-212a-4136-b305-e38d7e55aea5,"Dubai",4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Abu Dhabi","Abu Dhabi","Abu Dhabi","","","","","","","","",""
9dac06d6-708d-4542-87d0-87d6da12a583,191ac941-212a-4136-b305-e38d7e55aea5,"Dubai",4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Ajmal Makan City - Sharjah Waterfront","Ajmal Makan City - Sharjah Waterfront","Ajmal Makan City - Sharjah Waterfront","","","","","","","","",""
e8b37d63-8ba3-4976-8ed9-7689bc5bdcfa,191ac941-212a-4136-b305-e38d7e55aea5,"Dubai",4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Ajman","Ajman","Ajman","","","","","","","","",""
56c52a3e-837c-481c-8a04-c0e57213392a,191ac941-212a-4136-b305-e38d7e55aea5,"Dubai",4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Al Arqoub, Ras Al Khaimah","Al Arqoub, Ras Al Khaimah","Al Arqoub, Ras Al Khaimah","","","","","","","","",""
a4602dd0-7577-4bb6-9d2f-d181732f07ac,191ac941-212a-4136-b305-e38d7e55aea5,"Dubai",4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Al Barari","Al Barari","Al Barari","","Al Barari in Dubai is a lush, eco-friendly oasis that offers a serene escape from the city's hustle. Known for its verdant landscapes and sustainable living, this exclusive neighborhood features luxury villas, themed gardens, and beautiful waterways. With a focus on wellness and community, Al Barari provides residents and visitors a peaceful, nature-filled atmosphere. Its blend of tranquility, premium amenities, and proximity to central Dubai make it a coveted destination.  Al Barari offers convenient transport links for residents. While the area isn't directly served by a metro line, it's well-connected via major highways like Sheikh Mohammed Bin Zayed Road, making downtown Dubai and attractions like Burj Khalifa just a 25-minute drive away. Public buses and taxis are readily available, and Dubai International Airport is approximately a 30-minute drive, ensuring easy access to key destinations.","","Al Barari в Дубае — это пышный, экологически чистый оазис, который предлагает безмятежное укрытие от городской суеты. Этот район часто называют ботаническим раем, так как более 60% его территории занимают зеленые насаждения, что делает его одним из самых зеленых сообществ в регионе. Известный своими вердантными ландшафтами и концепцией устойчивого образа жизни, этот эксклюзивный район предлагает роскошные виллы, современные апартаменты (такие как «Seventh Heaven»), тематические сады и сеть красивых пресноводных ручьев и озер. Уделяя особое внимание здоровью и сообществу, Al Barari дарит жителям и посетителям спокойную атмосферу единения с природой, дополненную первоклассными удобствами, такими как спа-центр «Heart & Soul», знаменитый ресторан «The Farm» и современный фитнес-клуб. Уникальное сочетание абсолютного спокойствия, премиальных удобств и близости к центру Дубая делает это место желанным адресом для избранных. Несмотря на атмосферу уединения, Al Barari предлагает удобное транспортное сообщение для резидентов. Хотя район не обслуживается напрямую линией метро, его стратегическое расположение рядом с крупными автомагистралями, такими как Sheikh Mohammed Bin Zayed Road и Al Ain Road, обеспечивает отличную доступность. Благодаря этому центр Дубая, DIFC и такие достопримечательности, как Бурдж-Халифа, находятся всего в 20–25 минутах езды. Общественные автобусы курсируют по внешним границам района, а такси всегда доступны внутри сообщества. Кроме того, международный аэропорт Дубая расположен примерно в 30 минутах езды, что гарантирует легкий доступ к международным путешествиям.","Infrastructure","Nestled in Dubai, Al Barari is a verdant oasis with top-tier amenities. Residents enjoy the retail haven of The Well, boutique shopping, and gourmet experiences. Greenworks Nursery and The Farm restaurant are local highlights. Top-notch education is nearby at Dunecrest American School. Healthcare needs are met by Mediclinic Parkview Hospital. Enjoy lush botanical gardens, themed parks, and state-of-the-art fitness facilities, exemplifying luxury and serenity.","Infrastructure","Nestled in Dubai, Al Barari is a verdant oasis with top-tier amenities. Residents enjoy the retail haven of The Well, boutique shopping, and gourmet experiences. Greenworks Nursery and The Farm restaurant are local highlights. Top-notch education is nearby at Dunecrest American School. Healthcare needs are met by Mediclinic Parkview Hospital. Enjoy lush botanical gardens, themed parks, and state-of-the-art fitness facilities, exemplifying luxury and serenity.","{https://files.alnair.ae/uploads/2024/10/ef/06/ef0643a74cc6edca13849020b5980e28.jpg;https://files.alnair.ae/uploads/2024/10/27/05/2705f7ff3227c0e9f6fe00f94239a052.jpg;https://files.alnair.ae/uploads/2024/10/33/b2/33b25013df670a6e78192cf3ac331a0d.jpg;https://files.alnair.ae/uploads/2024/10/e8/13/e8134e36425b1421c5f718b4e7058251.jpg;https://files.alnair.ae/uploads/2024/10/93/56/9356a5b797c4f6f3d62b4858afb83553.jpg;https://files.alnair.ae/uploads/2024/10/fd/0c/fd0c15db6c6d6ec21adc4f55a4bf51d6.jpg;https://files.alnair.ae/uploads/2024/10/92/0d/920db67b0ba6e1baed560c03ed732bc4.jpg;https://files.alnair.ae/uploads/2024/10/14/01/14017f6c86f6ba3d1e64bcaaa4344958.jpg;https://files.alnair.ae/uploads/2024/10/7f/c6/7fc6d1e76e037521a799ed7a2effc463.jpg;https://files.alnair.ae/uploads/2024/10/84/bc/84bc3c5f366ef063c44d1e6b9089bdf6.jpg;https://files.alnair.ae/uploads/2024/10/06/53/065397a90087e1257cb2031e3beffc36.jpg;https://files.alnair.ae/uploads/2024/10/08/5b/085b8b0f466d30d48ab16f58dcf07869.jpg;https://files.alnair.ae/uploads/2024/10/30/24/3024ace77a4b5e5221e0d37b02846e8b.jpg;https://files.alnair.ae/uploads/2024/10/5e/69/5e6906cd32edd14a945d4cb295b2f349.jpg;https://files.alnair.ae/uploads/2024/10/fe/6d/fe6d785284e9d2caebf1efbea7a9942c.jpg}"
63cf4ec1-a4f6-47b5-874f-47ce680ef89e,191ac941-212a-4136-b305-e38d7e55aea5,"Dubai",4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Al Barsha 1","Al Barsha 1","Al Barsha 1","","Al Barsha is a vibrant and diverse community in Dubai, known for its perfect blend of residential comfort and commercial convenience. With its spacious villas, modern apartments, and proximity to the iconic Mall of the Emirates, it offers an ideal living environment. The area boasts excellent schools, parks, and healthcare facilities, making it perfect for families. Its well-connected transport links and lively atmosphere attract both residents and visitors looking for a thriving urban lifestyle.  Al Barsha boasts excellent transportation links, making commuting a breeze. The nearby Mall of the Emirates metro station provides swift access to downtown Dubai and other key areas. Numerous bus routes and readily available taxis enhance convenience. Cycling paths promote eco-friendly travel. Major highways like Sheikh Zayed Road ensure quick connectivity. Dubai International Airport is just 30 minutes away, while the stunning Burj Khalifa is accessible in 20 minutes.","","Al Barsha — это живой и невероятно разнообразный район в Дубае, известный идеальным сочетанием жилого комфорта и коммерческого удобства. Район четко разделен на подзоны: от шумной городской атмосферы Al Barsha 1 до тихих и просторных вилл в Al Barsha 2 и 3. Благодаря сочетанию современных квартир и величественных частных домов, а также близости к культовому торговому центру Mall of the Emirates и крытому горнолыжному курорту Ski Dubai, здесь создана идеальная среда для жизни как экспатов, так и местных жителей. Район может похвастаться отличными международными школами, обширными парками, такими как Al Barsha Pond Park, и высококлассными медицинскими учреждениями, что делает его идеальным для семей. Отличное транспортное сообщение и оживленная атмосфера с множеством мультикультурных ресторанов привлекают тех, кто ищет активный городской образ жизни. Al Barsha обладает, пожалуй, одной из лучших транспортных развязок в городе, что делает поездки на работу легкими для профессионалов, работающих в Media City или Downtown. Близлежащие станции метро Mall of the Emirates и Mashreq обеспечивают быстрый доступ без пробок к ключевым районам эмирата. Район обслуживается многочисленными автобусными маршрутами, а такси доступны круглосуточно. Недавно проложенные велосипедные дорожки способствуют экологичным передвижениям по району. Находясь рядом с главными магистралями, такими как Sheikh Zayed Road и Al Khail Road, жители могут быстро добраться в любую точку Дубая. Международный аэропорт Дубая находится всего в 30 минутах езды, а потрясающая Бурдж-Халифа — в 20 минутах.","Infrastructure","Al Barsha is a vibrant community offering stellar amenities. Shop at the renowned Mall of the Emirates, a retail paradise with endless dining options. Education thrives with GEMS International School nearby. Health is prioritized at Al Zahra Hospital. Lush spaces like Al Barsha Park provide serene escapes. The area is dotted with local shops, sports facilities, and cultural spots like the Dubai Community Theatre & Arts Centre, making it perfect for dynamic living.","Infrastructure","Al Barsha is a vibrant community offering stellar amenities. Shop at the renowned Mall of the Emirates, a retail paradise with endless dining options. Education thrives with GEMS International School nearby. Health is prioritized at Al Zahra Hospital. Lush spaces like Al Barsha Park provide serene escapes. The area is dotted with local shops, sports facilities, and cultural spots like the Dubai Community Theatre & Arts Centre, making it perfect for dynamic living.","{https://files.alnair.ae/uploads/2024/10/4d/0d/4d0d6de30a5550b22769e96ca61708b5.jpg;https://files.alnair.ae/uploads/2024/10/fe/78/fe781b16d7ad1369ec9b638cc69c5692.png;https://files.alnair.ae/uploads/2024/10/fa/af/faafabac7bf61c44af16129d9041e011.jpg;https://files.alnair.ae/uploads/2024/10/86/0e/860e9459245b69408d0b0b99322cf26b.jpg;https://files.alnair.ae/uploads/2024/10/2b/c0/2bc04d5ccfa1652d12044e34e9d7ac61.jpg;https://files.alnair.ae/uploads/2024/10/15/11/151187b48a6b13b6a5ead9afeea32a2b.jpg;https://files.alnair.ae/uploads/2024/10/9b/d2/9bd2603f3d03a6eb9d20bbc430034d4a.jpg;https://files.alnair.ae/uploads/2024/10/af/b9/afb923d66b9e6c026831a40c19f41d48.jpg;https://files.alnair.ae/uploads/2024/10/91/07/9107d3c4a8d0336b04c50ebef5c5c77c.jpg;https://files.alnair.ae/uploads/2024/10/c4/8e/c48e7f1c928360c045bf534e6a69fcd5.jpg;https://files.alnair.ae/uploads/2024/10/b0/4a/b04adfa13df10cc1724e539ce0b037d7.jpg;https://files.alnair.ae/uploads/2024/10/2d/97/2d976c4a721e864a472c01a6d25a3689.jpg}"
1417606d-eaca-4302-87b7-91fec45b06eb,191ac941-212a-4136-b305-e38d7e55aea5,"Dubai",4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Al Faqa, Abu Dhabi","Al Faqa, Abu Dhabi","Al Faqa, Abu Dhabi","","","","","","","","",""
ed6d2db7-2b5e-4f1d-a277-39e9768abec7,191ac941-212a-4136-b305-e38d7e55aea5,"Dubai",4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Al Furjan","Al Furjan","Al Furjan","","Al Furjan is a vibrant residential community in Dubai, known for its family-friendly atmosphere and modern amenities. With lush green parks, spacious villas, and convenient access to shopping centers, it offers a perfect blend of tranquility and urban living. Its strategic location near major highways ensures easy connectivity.  Al Furjan boasts excellent transport links, with easy access to the Al Furjan Metro Station connecting you to key areas like Dubai Marina and Jebel Ali. Frequent buses and readily available taxis make commuting a breeze. Close to Sheikh Zayed Road, driving to Downtown Dubai or Burj Khalifa takes approximately 30 minutes, with Dubai International Airport about 40 minutes away.","","Al Furjan — это оживленное жилое сообщество в Дубае, отличающееся заметным влиянием североафриканской и исламской архитектуры, а также семейной атмосферой. Спроектированное для поощрения добрососедских отношений, сообщество включает сеть дорожек и пышных зеленых парков, которые связывают различные «деревни» внутри комплекса. Благодаря просторным виллам, таунхаусам и растущему числу жилых комплексов, а также удобному доступу к общественным центрам, таким как Al Furjan Pavilion, район предлагает идеальное сочетание спокойствия и городской жизни. Жители могут пользоваться бассейнами, спортивными площадками и торговыми точками, а стратегическое расположение рядом с крупными коммерческими районами, такими как свободная зона Джебель-Али, обеспечивает высокий спрос на жилье. Al Furjan может похвастаться отличным транспортным сообщением, которое было значительно улучшено благодаря расширению линии метро «Route 2020». Станция метро Al Furjan теперь напрямую связывает жителей с ключевыми районами, такими как Dubai Marina, площадка EXPO City и Джебель-Али, без необходимости использовать автомобиль. Для автомобилистов сообщество удобно расположено между Sheikh Zayed Road и Sheikh Mohammed Bin Zayed Road, что позволяет использовать несколько въездов и выездов, избегая пробок. Регулярные автобусы и легкодоступные такси делают поездки еще проще. Поездка до центра Дубая или Бурдж-Халифы занимает около 30 минут, до международного аэропорта Дубая — около 40 минут, а новый международный аэропорт Аль-Мактум находится еще ближе.","Infrastructure","Al Furjan in Dubai offers a vibrant infrastructure with the Al Furjan Pavilion, providing residents with a range of retail and dining options. Families benefit from proximity to gems like The Arbor School and Al Furjan Medical Centre for convenient healthcare. Enjoy lush green spaces at Al Furjan Parks, and stay active with sports facilities.","Infrastructure","Al Furjan in Dubai offers a vibrant infrastructure with the Al Furjan Pavilion, providing residents with a range of retail and dining options. Families benefit from proximity to gems like The Arbor School and Al Furjan Medical Centre for convenient healthcare. Enjoy lush green spaces at Al Furjan Parks, and stay active with sports facilities.","{https://files.alnair.ae/uploads/2024/10/46/e9/46e9a508c3a09361ba6626db64d4c41d.jpg;https://files.alnair.ae/uploads/2024/10/97/44/97448e9ce3a2f6d0797fd5e3b1e423fb.jpg;https://files.alnair.ae/uploads/2024/10/59/97/599748126c439d3fc5a6b20a225f6e2e.jpg;https://files.alnair.ae/uploads/2024/10/9e/36/9e36b4d079d0592a68101aff8cafde7b.jpg;https://files.alnair.ae/uploads/2024/10/f1/c4/f1c4d2a52a3c76b53c728d9070388b53.jpg;https://files.alnair.ae/uploads/2024/10/ff/d1/ffd18e820302fd1e318044aa1c71a5c8.jpg;https://files.alnair.ae/uploads/2024/10/75/9a/759aaed3eb7eaabdfa043c6a5c66503b.jpg;https://files.alnair.ae/uploads/2024/10/fc/e5/fce54528c8a6bfba7c8a14a0f4d0d794.jpg;https://files.alnair.ae/uploads/2024/10/44/e7/44e7fbc232dfc7e4c81e6de7ca2fe430.jpg;https://files.alnair.ae/uploads/2024/10/0f/de/0fdecb28af2a6447e5207fb0dea9aa2a.jpg;https://files.alnair.ae/uploads/2024/10/37/a0/37a0d723080f13b1248211332c76bd69.png;https://files.alnair.ae/uploads/2024/10/f6/bd/f6bd0778aa20a0159809d95ad3934ab5.jpg;https://files.alnair.ae/uploads/2024/10/35/c5/35c5efab8483861a4dc0c856618ef6f0.jpg}"
9d7fa1d1-c933-4487-b9dc-eb7a0308e3ce,191ac941-212a-4136-b305-e38d7e55aea5,"Dubai",4cb49e99-dc24-497d-97aa-6dde42025896,"United Arab Emirates","Al Habtoor City","Al Habtoor City","Al Habtoor City","","","","","","","","",""
